gene_symbol,gs_name,source,description
Satb1,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Satb2,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Ubl5,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Atf4,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Atf5,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Phf8,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Clpx,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Pmpca,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Pmpcb,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Mipep,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Xpnpep3,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Prep,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Hspa9,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Hspd1,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Hspe1,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Lace1,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Afg3l1,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Afg3l2,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Spg7,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Yme1l1,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Immp1l,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Immp2l,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Parl,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Oma1,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Bbc3,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Opa1,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Nln,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Xrcc6bp1,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Htra2,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Pink1,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Park2,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Atad1,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Mfn1,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Mfn2,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Mul1,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Ankzf1,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Vcp,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Ubc,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Ubd,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Dnm1l,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Hspa1a,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Hsp90aa1,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Hsp90ab1,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Dnajb1,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Hspa1b,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Hspa1l,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Hspa2,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Asns,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Gdf15,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Fgf21 ,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Kdm6b,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Kdm6a,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Abcb10,UPRmt_mediators,Our_lab,A custom list of identified UPRmt mediators in worm and mammalian cells
Adm,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Aldh1l2,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Amigo2,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Asns,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Ass1,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Atf3,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Bex2,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Bgn,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Chac1,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Cth,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Ddr2,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Dnase2,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Eif2s2,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Eif4ebp1,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Etv5,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Fam129a,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Fam132b,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Flrt1,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Fzd8,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
G0s2,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Gars1,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Gdf15,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Hint2,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Hoxb9,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Il20rb,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Larp6,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Linc00662,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Linc01133,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Nupr1,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Pappa2,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Pck2,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Phgdh,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Pip5kl1,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Psat1,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Psph,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Ptk6,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Rims3,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Rp11-17a4.1,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Rp11-382m14.1,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Rp11-495p10.9,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
S100p,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Samd10,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Sars,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Sesn2,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Slc1a4,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Slc1a5,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Slc6a9,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Slc7a11,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Spred2,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Stc2,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Tnfrsf21,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Trib3,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Ulbp1,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Unc5b,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Vegfa,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Vldlr,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Wars,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Fgf21,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Atf4,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
Ddit3,UPRmt_unbiased,https://pubmed.ncbi.nlm.nih.gov/28566324/,The signature of the UPRmt reponse: genes that were upregulated upon each different source of mito stress
F5,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Ipcef1,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
F13a1,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Tyrobp,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Nebl,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
F2rl2,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Nrn1,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Ccl1,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Grb7,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Filip1l,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Tnfsf4,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Mcoln2,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Tnfsf8,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Col15a1,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Bcl6,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Egr2,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Fasl,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Chst2,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Cd9,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Wisp1,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Scml4,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Bid,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Myc,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Gfod1,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Qprt,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Foxp1,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Csf1,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Csf2rb2,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Arrdc3,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Havcr2,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Rpp38,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Fam65b,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Lta,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Sell,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Hivep3,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Ccdc50,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Gimap5,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Shmt1,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Kdm6b,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Fam102a,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Slc5a6,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Hdc,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Asap1,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Dusp6,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Mbp,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Chchd4,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Egr1,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Kbtbd11,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Slc25a33,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
Tle4,XBP1_targets_down,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were downregulated upon IRE1a inhibition (FC>0.5 only)"
